zip,city,county,SPCS83_Code
77563,Hitchcock,Galveston,4204
77564,Hull,Liberty,4203
77565,Kemah,Galveston,4204
77566,Lake Jackson,Brazoria,4204
77568,La Marque,Galveston,4204
77571,La Porte,Harris,4204
77572,La Porte,Harris,4204
77573,League City,Galveston,4204
77574,League City,Galveston,4204
77575,Liberty,Liberty,4203
77577,Liverpool,Brazoria,4204
77578,Manvel,Brazoria,4204
77580,Mont Belvieu,Chambers,4204
77581,Pearland,Brazoria,4204
77582,Raywood,Liberty,4203
77583,Rosharon,Brazoria,4204
77584,Pearland,Brazoria,4204
77585,Saratoga,Hardin,4203
77586,Seabrook,Harris,4204
77587,South Houston,Harris,4204
77588,Pearland,Brazoria,4204
77590,Texas City,Galveston,4204
77591,Texas City,Galveston,4204
77592,Texas City,Galveston,4204
77597,Wallisville,Chambers,4204
77598,Webster,Harris,4204
77611,Bridge City,Orange,4203
77612,Buna,Jasper,4203
77613,China,Jefferson,4204
77614,Deweyville,Newton,4203
77615,Evadale,Jasper,4203
77616,Fred,Tyler,4203
77617,Gilchrist,Galveston,4204
77619,Groves,Jefferson,4204
77622,Hamshire,Jefferson,4204
77623,High Island,Galveston,4204
77624,Hillister,Tyler,4203
77625,Kountze,Hardin,4203
77626,Mauriceville,Orange,4203
77627,Nederland,Jefferson,4204
77629,Nome,Jefferson,4204
77630,Orange,Orange,4203
77631,Orange,Orange,4203
77632,Orange,Orange,4203
77639,Orangefield,Orange,4203
77640,Port Arthur,Jefferson,4204
77641,Port Arthur,Jefferson,4204
77642,Port Arthur,Jefferson,4204
77643,Port Arthur,Jefferson,4204
77650,Port Bolivar,Galveston,4204
77651,Port Neches,Jefferson,4204
77655,Sabine Pass,Jefferson,4204
77656,Silsbee,Hardin,4203
77657,Lumberton,Hardin,4203
77659,Sour Lake,Hardin,4203
77660,Spurger,Tyler,4203
77661,Stowell,Chambers,4204
77662,Vidor,Orange,4203
77663,Village Mills,Hardin,4203
77664,Warren,Tyler,4203
77665,Winnie,Chambers,4204
77670,Vidor,Orange,4203
77701,Beaumont,Jefferson,4204
77702,Beaumont,Jefferson,4204
77703,Beaumont,Jefferson,4204
77704,Beaumont,Jefferson,4204
77705,Beaumont,Jefferson,4204
77706,Beaumont,Jefferson,4204
77707,Beaumont,Jefferson,4204
77708,Beaumont,Jefferson,4204
77709,Beaumont,Jefferson,4204
77710,Beaumont,Jefferson,4204
77713,Beaumont,Jefferson,4204
77720,Beaumont,Jefferson,4204
77725,Beaumont,Jefferson,4204
77726,Beaumont,Jefferson,4204
77801,Bryan,Brazos,4203
77802,Bryan,Brazos,4203
77803,Bryan,Brazos,4203
77805,Bryan,Brazos,4203
77806,Bryan,Brazos,4203
77807,Bryan,Brazos,4203
77808,Bryan,Brazos,4203
77830,Anderson,Grimes,4203
77831,Bedias,Grimes,4203
77833,Brenham,Washington,4203
77834,Brenham,Washington,4203
77835,Burton,Washington,4203
77836,Caldwell,Burleson,4203
77837,Calvert,Robertson,4203
77838,Chriesman,Burleson,4203
77840,College Station,Brazos,4203
77841,College Station,Brazos,4203
77842,College Station,Brazos,4203
77843,College Station,Brazos,4203
77844,College Station,Brazos,4203
